AllStatements
Date, Type, Description, Check Number, Amount, Balance 
04/16/2021,Debit Card,Subway 57407                Columbia        MO,,-20.81,04/16/2021,1874.29
04/13/2021,Debit Card,WM SUPERCENTER WM SUPERCENTER #   COLUMBIA      MO,,-4.33,04/13/2021,1895.10
04/13/2021,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-31.59,04/13/2021,1899.43
04/12/2021,Debit Card,00000000063245 MCDONALD'S F171    COLUMBIA      MO,,-15.18,04/12/2021,1931.02
04/09/2021,Debit Card,WM SUPERCENTER WM SUPERCENTER #   COLUMBIA      MO,,-11.24,04/09/2021,1946.20
04/09/2021,Debit Card,TACO BELL 456               COLUMBIA        MO,,-8.07,04/09/2021,1957.44
04/05/2021,ACH,VENMO           PAYMENT,,-100.00,04/05/2021,1965.51
04/05/2021,ACH,VENMO           PAYMENT,,-12.75,04/05/2021,2065.51
04/05/2021,ACH,VENMO           PAYMENT,,-11.30,04/05/2021,2078.26
04/05/2021,Debit Card,CHIPOTLE 1027               COLUMBIA        MO,,-7.83,04/05/2021,2089.56
04/02/2021,ACH,1224 E Walnut   Rent,,-789.95,04/02/2021,2097.39
04/02/2021,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-40.16,04/02/2021,2887.34
04/02/2021,Debit Card,TST* HATTIE B S             NASHVILLE       TN,,-11.48,04/02/2021,2927.50
04/02/2021,Debit Card,MCDONALD'S F657             PANAMA CITY B   FL,,-6.14,04/02/2021,2938.98
04/01/2021,Debit Card,Subway 13188                Panama City B   FL,,-5.72,04/01/2021,2945.12
04/01/2021,Debit Card,BILLY'S STEAMER             PANAMA CITY B   FL,,-32.00,04/01/2021,2950.84
04/01/2021,Debit Card,MS NEWBY LIQUOR             PANAMA CITY B   FL,,-37.61,04/01/2021,2982.84
04/01/2021,Debit Card,SHORE DOG`S GRI             PANAMA CITY B   FL,,-25.00,04/01/2021,3020.45
03/31/2021,ACH,VENMO           PAYMENT,,-6.00,03/31/2021,3045.45
03/31/2021,Debit Card,Subway 13188                Panama City B   FL,,-4.55,03/31/2021,3051.45
03/30/2021,Debit Card,PINEAPPLE WILLY             P C Beach       FL,,-34.04,03/30/2021,3056.00
03/29/2021,ACH,VENMO           PAYMENT,,-200.00,03/29/2021,3090.04
03/29/2021,ACH,VENMO           PAYMENT,,-7.00,03/29/2021,3290.04
03/29/2021,ACH,VENMO           PAYMENT,,-3.00,03/29/2021,3297.04
03/29/2021,Debit Card,SQ *PANAMANIAC              Panama City B   FL,,-65.00,03/29/2021,3300.04
03/29/2021,Debit Card,BEACH LIQUORS #             PANAMA CITY B   FL,,-16.02,03/29/2021,3365.04
03/29/2021,Debit Card,ROAD RANGER #15             OKAWVILLE       IL,,-8.06,03/29/2021,3381.06
03/26/2021,Debit Card,PUBLIX SUPER M PUBLIX SUPER MAR   PANAMA CITY B FL,,-77.17,03/26/2021,3389.12
03/26/2021,Debit Card,3804 GREAT CLIP             COLUMBIA        MO,,-21.50,03/26/2021,3466.29
03/25/2021,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-21.91,03/25/2021,3487.79
03/25/2021,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-14.79,03/25/2021,3509.70
03/23/2021,Debit Card,MU PARKING AND              COLUMBIA        MO,,-25.00,03/23/2021,3524.49
03/23/2021,Debit Card,THE SHOT BAR                COLUMBIA        MO,,-30.35,03/23/2021,3549.49
03/23/2021,Debit Card,THE SHOT BAR                COLUMBIA        MO,,-7.59,03/23/2021,3579.84
03/22/2021,Debit Card,SQ *SILVERBALL              Columbia        MO,,-14.90,03/22/2021,3587.43
